name,url,description,category,pricing,hasApi,tags,modelId,author,pipelineTag,libraryName,downloads,popularityTier,libraryRank,likesTier,recencyTier,languageTier,licenseTier,parameterSizeTier,formatTier,pipelineTaskTier,useCaseTier,downloadVolumeTier,creatorTier,likes,lastModified,createdAt,license,language,urlDomainTier,descriptionLengthTier,categorizationTier
Salesforce/moirai-1.0-R-base,https://huggingface.co/Salesforce/moirai-1.0-R-base,"time series forecasting (transformers) — license: cc-by-nc-4.0 — 145,408 downloads",tabular,unknown,false,"[""transformers"",""safetensors"",""time series"",""forecasting"",""pretrained models"",""foundation models"",""time series foundation models"",""time-series"",""time-series-forecasting"",""endpoints_compatible""]",Salesforce/moirai-1.0-R-base,Salesforce,time-series-forecasting,transformers,145408,rest,top1pct,rest,stale,unknown,proprietary,unknown,safetensors,specialized,other,established,community,32,2025-01-21T09:10:49.000Z,2024-02-11T14:04:00.000Z,cc-by-nc-4.0,[],registry-hosted,normal,specific
OpenMed/OpenMed-NER-ChemicalDetect-BioPatient-108M,https://huggingface.co/OpenMed/OpenMed-NER-ChemicalDetect-BioPatient-108M,"token classification (transformers) — license: apache-2.0 — 86,113 downloads",text-classification,unknown,false,"[""transformers"",""safetensors"",""bert"",""token-classification"",""named-entity-recognition"",""biomedical-nlp"",""chemical-entity-recognition"",""drug-discovery"",""pharmacology"",""chemistry"",""chem"",""en""]",OpenMed/OpenMed-NER-ChemicalDetect-BioPatient-108M,OpenMed,token-classification,transformers,86113,rest,top1pct,unknown,older,monolingual,permissive,tiny,safetensors,discriminative,nlp-classic,niche,community,0,2025-08-05T09:42:34.000Z,2025-07-16T21:02:21.000Z,apache-2.0,"[""en""]",registry-hosted,normal,specific
mudler/Qwen3.6-35B-A3B-APEX-GGUF,https://huggingface.co/mudler/Qwen3.6-35B-A3B-APEX-GGUF,"— license: apache-2.0 — 152,568 downloads",text-generation,unknown,false,"[""gguf"",""quantized"",""apex"",""moe"",""mixture-of-experts"",""qwen3"",""vlm"",""vision"",""endpoints_compatible"",""conversational""]",mudler/Qwen3.6-35B-A3B-APEX-GGUF,mudler,,,152568,rest,unknown,rest,fresh,unknown,permissive,large,gguf-quantized,unknown,unknown,established,community,142,2026-04-27T14:00:29.000Z,2026-04-17T00:07:18.000Z,apache-2.0,[],registry-hosted,terse,specific
Helsinki-NLP/opus-mt-ja-en,https://huggingface.co/Helsinki-NLP/opus-mt-ja-en,"translation (transformers) — license: apache-2.0 — 43,254 downloads",translation,unknown,false,"[""transformers"",""pytorch"",""tf"",""marian"",""text2text-generation"",""translation"",""ja"",""en"",""endpoints_compatible""]",Helsinki-NLP/opus-mt-ja-en,Helsinki-NLP,translation,transformers,43254,rest,top1pct,rest,ancient,bilingual,permissive,unknown,pytorch-legacy,generative,nlp-classic,niche,frontier-lab,74,2023-08-16T11:59:08.000Z,2022-03-02T23:29:04.000Z,apache-2.0,"[""ja"",""en""]",registry-hosted,normal,specific
nasa-impact/nasa-smd-ibm-st-v2,https://huggingface.co/nasa-impact/nasa-smd-ibm-st-v2,"sentence similarity (sentence-transformers) — license: apache-2.0 — 36,323 downloads",embedding,unknown,false,"[""sentence-transformers"",""pytorch"",""roberta"",""earth science"",""climate"",""biology"",""sentence-similarity"",""en"",""doi:10.57967/hf/1800"",""text-embeddings-inference"",""endpoints_compatible""]",nasa-impact/nasa-smd-ibm-st-v2,nasa-impact,sentence-similarity,sentence-transformers,36323,rest,top5pct,rest,stale,monolingual,permissive,unknown,pytorch-legacy,discriminative,embedding,niche,community,12,2024-10-11T02:10:50.000Z,2024-02-20T22:02:14.000Z,apache-2.0,"[""en""]",registry-hosted,normal,specific
OFA-Sys/chinese-clip-vit-base-patch16,https://huggingface.co/OFA-Sys/chinese-clip-vit-base-patch16,"zero shot image classification (transformers) — 44,904 downloads",image-classification,unknown,false,"[""transformers"",""pytorch"",""chinese_clip"",""zero-shot-image-classification"",""vision"",""endpoints_compatible""]",OFA-Sys/chinese-clip-vit-base-patch16,OFA-Sys,zero-shot-image-classification,transformers,44904,rest,top1pct,rest,ancient,unknown,unknown,unknown,pytorch-legacy,multimodal,vision,niche,community,127,2022-12-09T06:10:13.000Z,2022-11-09T08:14:09.000Z,,[],registry-hosted,normal,specific
Lightricks/LTX-Video,https://huggingface.co/Lightricks/LTX-Video,"image to video (diffusers) — license: other — 399,940 downloads",image-generation,unknown,false,"[""diffusers"",""safetensors"",""ltx-video"",""image-to-video"",""en"",""diffusers:ltxpipeline""]",Lightricks/LTX-Video,Lightricks,image-to-video,diffusers,399940,top25pct,top25pct,top5pct,older,monolingual,unknown,unknown,safetensors,generative,other,established,community,2187,2025-07-16T14:32:35.000Z,2024-10-31T12:36:00.000Z,other,"[""en""]",registry-hosted,normal,specific
llava-hf/llava-v1.6-vicuna-7b-hf,https://huggingface.co/llava-hf/llava-v1.6-vicuna-7b-hf,"image text to text (transformers) — license: llama2 — 38,396 downloads",multimodal,unknown,false,"[""transformers"",""safetensors"",""llava_next"",""image-text-to-text"",""vision"",""conversational"",""en"",""text-generation-inference"",""endpoints_compatible""]",llava-hf/llava-v1.6-vicuna-7b-hf,llava-hf,image-text-to-text,transformers,38396,rest,top1pct,rest,stale,monolingual,unknown,medium,safetensors,multimodal,multimodal,niche,community,31,2025-01-27T11:25:16.000Z,2024-03-17T18:00:39.000Z,llama2,"[""en""]",registry-hosted,normal,specific
PekingU/rtdetr_r50vd_coco_o365,https://huggingface.co/PekingU/rtdetr_r50vd_coco_o365,"object detection (transformers) — license: apache-2.0 — 47,456 downloads",object-detection,unknown,false,"[""transformers"",""safetensors"",""rt_detr"",""object-detection"",""vision"",""en"",""endpoints_compatible""]",PekingU/rtdetr_r50vd_coco_o365,PekingU,object-detection,transformers,47456,rest,top1pct,rest,stale,monolingual,permissive,unknown,safetensors,discriminative,vision,niche,community,17,2024-07-01T14:17:52.000Z,2024-05-21T13:21:52.000Z,apache-2.0,"[""en""]",registry-hosted,normal,specific
optimum-intel-internal-testing/tiny-mamba,https://huggingface.co/optimum-intel-internal-testing/tiny-mamba,"— license: apache-2.0 — 97,809 downloads",other,unknown,false,"[""safetensors"",""mamba""]",optimum-intel-internal-testing/tiny-mamba,optimum-intel-internal-testing,,,97809,rest,unknown,unknown,older,unknown,permissive,unknown,safetensors,unknown,unknown,niche,aggregator,0,2025-10-21T09:59:40.000Z,2025-10-21T09:59:36.000Z,apache-2.0,[],registry-hosted,terse,other
